step,experiment,solver,network,n_requests,run,capacity,tw_duration,threads,runtime_ms,num_routes,total_served,total_lu_cost,total_distance,pareto_size,clusters,prefixes_explored,prefixes_pruned,pruned_capacity,pruned_lu_bound,pruned_seed_lu,backtrack_calls,cluster_orderings,cross_product,valid_orderings,seed_lu,seed_dist,lb_lu,status,timeout
step4,ablation,NoLUPruning,london,40,8,,,,262392,9,474,3910,214959.44,9,16,186,0,0,0,0,186,70,100000,100000,5390,137800.52,264,success,0
step4,ablation,NoLUPruning,london,40,9,,,,358288,9,199,1202,112910.99,9,26,156,0,0,0,0,156,62,100000,100000,4320,124694.11,234,success,0
step4,ablation,NoLUPruning,london,40,10,,,,1200000,0,0,0,0.00,0,,,,,,,,,,,,,,timeout,1
step4,ablation,OptLoad,london,60,1,,,,1200000,0,0,0,0.00,0,,,,,,,,,,,,,,timeout,1
step4,ablation,OptLoad,london,60,2,,,,770346,15,313,955,701353.15,15,28,325,2,2,0,0,327,103,100000,100000,8488,504431.04,312,success,0
step4,ablation,OptLoad,london,60,3,,,,678822,31,2712,15931,1045414.38,31,26,266,0,0,0,0,266,102,100000,100000,10406,409079.58,344,success,0
step4,ablation,OptLoad,london,60,4,,,,880647,8,740,7984,251799.80,8,32,330,0,0,0,0,330,125,100000,100000,9782,241116.00,382,success,0
step4,ablation,OptLoad,london,60,5,,,,715821,50,2979,5298,1520475.92,50,15,110,0,0,0,0,110,42,100000,100000,10800,365089.80,384,success,0
step4,ablation,OptLoad,london,60,6,,,,222333,49,2635,12721,1240506.73,49,17,130,0,0,0,0,130,48,100000,100000,11094,270443.24,366,success,0
step4,ablation,OptLoad,london,60,7,,,,433038,10,855,4931,255131.92,10,17,12580,132,132,0,0,12712,2718,100000,100000,11900,314555.31,370,success,0
step4,ablation,OptLoad,london,60,8,,,,430427,11,666,3006,367620.99,11,16,451,2,2,0,0,453,164,100000,100000,9992,406364.98,366,success,0
step4,ablation,OptLoad,london,60,9,,,,401214,28,1318,9225,651784.57,28,20,155,0,0,0,0,155,50,100000,100000,11006,306165.08,402,success,0
step4,ablation,OptLoad,london,60,10,,,,192903,12,980,6293,346661.88,12,22,241,0,0,0,0,241,80,100000,100000,10286,351004.88,354,success,0
step4,ablation,NoCluster,london,60,1,,,,18635,0,0,0,0.00,0,1,0,0,0,0,0,0,0,1,0,8648,407510.25,354,success,0
step4,ablation,NoCluster,london,60,2,,,,16011,0,0,0,0.00,0,1,0,0,0,0,0,0,0,1,0,8488,504431.04,312,success,0
step4,ablation,NoCluster,london,60,3,,,,24374,0,0,0,0.00,0,1,0,0,0,0,0,0,0,1,0,10406,409079.58,344,success,0
step4,ablation,NoCluster,london,60,4,,,,13396,0,0,0,0.00,0,1,0,0,0,0,0,0,0,1,0,9782,241116.00,382,success,0
step4,ablation,NoCluster,london,60,5,,,,37273,0,0,0,0.00,0,1,0,0,0,0,0,0,0,1,0,10800,365089.80,384,success,0
step4,ablation,NoCluster,london,60,6,,,,12602,0,0,0,0.00,0,1,0,0,0,0,0,0,0,1,0,11094,270443.24,366,success,0
step4,ablation,NoCluster,london,60,7,,,,16669,0,0,0,0.00,0,1,0,0,0,0,0,0,0,1,0,11900,314555.31,370,success,0
step4,ablation,NoCluster,london,60,8,,,,27041,0,0,0,0.00,0,1,0,0,0,0,0,0,0,1,0,9992,406364.98,366,success,0
step4,ablation,NoCluster,london,60,9,,,,18292,0,0,0,0.00,0,1,0,0,0,0,0,0,0,1,0,11006,306165.08,402,success,0
step4,ablation,NoCluster,london,60,10,,,,11819,0,0,0,0.00,0,1,0,0,0,0,0,0,0,1,0,10286,351004.88,354,success,0
step4,ablation,NoLUPruning,london,60,1,,,,1200000,0,0,0,0.00,0,,,,,,,,,,,,,,timeout,1
step4,ablation,NoLUPruning,london,60,2,,,,782485,15,313,955,701353.15,15,28,325,2,2,0,0,327,103,100000,100000,8488,504431.04,312,success,0
step4,ablation,NoLUPruning,london,60,3,,,,642424,31,2712,15931,1045414.38,31,26,266,0,0,0,0,266,102,100000,100000,10406,409079.58,344,success,0
step4,ablation,NoLUPruning,london,60,4,,,,857609,8,740,7984,251799.80,8,32,330,0,0,0,0,330,125,100000,100000,9782,241116.00,382,success,0
step4,ablation,NoLUPruning,london,60,5,,,,724797,42,2452,4416,1254633.93,42,15,110,0,0,0,0,110,42,100000,100000,10800,365089.80,384,success,0
step4,ablation,NoLUPruning,london,60,6,,,,212483,56,3049,14683,1434328.28,56,17,130,0,0,0,0,130,48,100000,100000,11094,270443.24,366,success,0
step4,ablation,NoLUPruning,london,60,7,,,,440010,14,1248,7607,363008.46,14,17,12580,132,132,0,0,12712,2718,100000,100000,11900,314555.31,370,success,0
step4,ablation,NoLUPruning,london,60,8,,,,465544,11,666,3006,367620.99,11,16,451,2,2,0,0,453,164,100000,100000,9992,406364.98,366,success,0
step4,ablation,NoLUPruning,london,60,9,,,,414979,28,1318,9225,651790.93,28,20,155,0,0,0,0,155,50,100000,100000,11006,306165.08,402,success,0
step4,ablation,NoLUPruning,london,60,10,,,,196691,12,970,6229,347066.06,12,22,241,0,0,0,0,241,80,100000,100000,10286,351004.88,354,success,0
